key,nom,editeur,categories,installs,avis,note,cloud,modele_dc,derniere_version_dc
com.thinktilt.proforma.add-on,ProForma: Forms & Checklist for Jira,Atlassian,Custom fields;IT & helpdesk;Testing & QA,1290,57,4.87,non,atlassian,2026-09-15
com.botronsoft.jira.rollout.integrity-check,Integrity Check for Jira,Appfire,Admin tools;Utilities,2855,9,4.44,non,atlassian,2026-09-23
confluence-mermaid,Mermaid Charts & Diagrams for Confluence,weweave,Charts & diagramming;Integrations;Macros;Design tools,2160,15,4.58,oui,atlassian,2026-08-28
com.midori.confluence.plugin.archiving,Better Content Archiving and Analytics for Confluence,Midori Global Consulting Kft.,Workflow;Reports;Document management;Documentation,1189,155,4.83,oui,atlassian,2026-08-26
onedrive-business-connector-addon-plugin-for-confluence-topdox,SharePoint Connector for Confluence Workflows,ikuTeam (File Automation & Workflows),Document management;Documentation;Integrations;Macros,1619,59,4.53,oui,atlassian,2026-09-10
com.gebsun.plugins.jira.defaultvalues,Default Values for 'Create Issue' screen - Issue Templates,Big Fig Tree,Project management,2487,26,4.09,oui,atlassian,2026-07-06
com.soldevelo.apps.test_management_premium,QAlity Plus - Test Management for Jira,SolDevelo,Reports;Project management;Testing & QA,1537,56,4.58,oui,atlassian,2026-09-17
com.nurago.confluence.plugins.treecopy,Copy Page Tree,Appfire,Document management;Documentation;Macros;Project management,2144,67,4.01,oui,atlassian,2026-07-17
com.atlassian.confluence.plugins.confluence-questions,Questions for Confluence,Atlassian,Messaging,3723,77,3.02,oui,atlassian,2026-07-27
de.communardo.confluence.plugins.csi,SharePoint Connector for Confluence,Elevatic,Document management;Integrations;Macros,1670,27,4.63,oui,atlassian,2026-06-09
org.swift.confluence.cli,Confluence Command Line Interface (CLI),Appfire,Admin tools;Tasks;Integrations;Utilities,1546,31,4.68,oui,atlassian,2026-08-03
org.swift.confluence.html,HTML for Confluence,Appfire,Themes & styles;Reports;Document management;Macros,2459,22,4.09,oui,atlassian,2026-07-23
com.mohamicorp.html.source.editor.for.confluence,Source Editor for Confluence,Appfire,Admin tools;Document management;Documentation;Source code,2019,25,4.34,oui,atlassian,2026-06-05
com.botronsoft.jira.issuematrix,Issue Matrix for Jira,Appfire,Custom fields;Project management,1270,42,4.82,oui,atlassian,2026-09-02
com.planyway,"Gantt, Roadmap, Resource Capacity, Time Tracking & Timesheet",Planyway for Jira,Time tracking;Charts & diagramming;Reports;Project management,1441,53,4.6,oui,atlassian,2026-07-09
org.swift.jira.clone-plus,Clone Plus for Jira,Appfire,Admin tools;Workflow;Utilities;Project management,1662,58,4.35,oui,atlassian,2026-09-14
ch.bitvoodoo.confluence.plugins.navitabs,Navitabs - Navigation Macros for Confluence,Elevatic,Documentation;Macros,2092,45,4.06,oui,atlassian,2026-06-16
com.oldstreetsolutions.atlassian.confluence.custom-charts,Custom Charts for Confluence - Jira Dashboard Report | Tempo,Tempo Software,Dashboard gadgets;Charts & diagramming;Reports;Project management,1361,19,4.93,oui,atlassian,2026-07-01
capacity-tracker-plugin,Capacity Tracker,Inprowiser Engineering,Time tracking;Tasks;Utilities;Project management,1597,36,4.51,oui,atlassian,2026-08-01
org.swift.confluence.tablesorter,Table Library for Bob Swift Add-ons,Appfire,,3131,4,4.69,non,free,2026-06-03
com.deiser.jira.profields,Projectrak (Project Portfolio Management for Jira),Deiser,Admin tools;Dashboard gadgets;Reports;Project management,1343,128,4.48,oui,atlassian,2026-08-25
de.viadee.confluence.bpmn-plugin-enterprise,BPMN Modeler Enterprise,viadee Unternehmensberatung AG,Workflow;Charts & diagramming;Documentation;Design tools,1126,25,5.0,oui,atlassian,2026-09-24
net.customware.confluence.plugin.visibility,Visibility for Confluence,Appfire,Themes & styles;Documentation;Macros,1472,33,4.58,oui,atlassian,2026-05-12
com.resolution.atlasplugins.samlsso.Confluence,SAML SSO Single Sign On for Confluence SSO OAuth + User Sync,resolution Reichert Network Solutions GmbH,Admin tools;Integrations;Utilities;Security,1003,53,4.96,non,atlassian,2026-08-27
biz.epicreport.epicreports,"Pivot Report: Roll Up Epic Issues, Worklogs & Time in Status",Colined,Reports;Project management,914,80,4.98,oui,atlassian,2026-09-04
com.ricksoft-inc.plugins.gantt-chart-planner-for-confluence,Gantt Chart Planner for Confluence (Roadmap & Timeline),"Ricksoft, Inc.",Charts & diagramming;Documentation;Macros;Project management,2199,15,4.25,oui,atlassian,2026-02-12
com.tng.jira.plugins.workflowenhancer,Workflow Enhancer for Jira,TNG Technology Consulting GmbH,Workflow;Utilities,1412,43,4.53,oui,atlassian,2026-09-10
com.plugin.commitgraph.commitgraph,Charts & Graphs for Bitbucket,Appfire,Workflow;Charts & diagramming;Reports;Utilities,1105,114,4.69,non,atlassian,2026-07-24
net.customware.confluence.plugin.scaffolding,Scaffolding Forms & Templates for Confluence,Appfire,Documentation;Blueprints;Macros,1310,124,4.43,oui,atlassian,2026-08-31
com.intenso.jira.queues-extension,Queues for Jira & JSM,Deviniti,Tasks;Utilities;IT & helpdesk;Project management,1277,47,4.63,oui,atlassian,2026-08-26
com.stiltsoft.jira.smart-attachments,Smart Attachments for Jira (File & Document Management),Stiltsoft Europe OÜ,Document management;Documentation;Security;Project management,1074,80,4.75,oui,atlassian,2026-09-07
com.rvs.atlassian.plugins.wtis,Time in Status Reports for Jira,votazz,Time tracking;Dashboard gadgets;Reports;Project management,1467,36,4.48,oui,atlassian,2026-08-07
com.deviniti.atlassian.apps.extension-myrequests,My Requests Extension for Jira Service Management,Deviniti,Themes & styles;Reports;IT & helpdesk,1505,34,4.45,oui,atlassian,2026-07-29
com.spartez.jira.plugins.support-chat,Chat for Jira Service Management,Appfire,Workflow;Tasks;Messaging;IT & helpdesk,1244,57,4.58,oui,atlassian,2026-08-17
com.devsamurai.plugin.jira.agile-test,"Agile Test: Enterprise QA Testing, Test Management for Jira",DevSamurai,Reports;Tasks;Project management;Testing & QA,1131,74,4.65,oui,atlassian,2026-07-02
com.soldevelo.apps.checklists,Multiple Checklists for Jira,SolDevelo,Workflow;Tasks;Project management;Testing & QA,1106,29,4.87,oui,atlassian,2026-04-01
