url,nom,prix,scopes,scopes_anciens,statut
https://slack.com/marketplace/A8BBNKE9X-lilspace,lilspace & Slack Integration | Slack Marketplace,,dnd:read dnd:write users.profile:read users.profile:write users:write,,
https://slack.com/marketplace/A8BEWM36W-front-desk,Front Desk & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot dnd:read emoji:read files:read files:write:user groups:history groups:read identity.basic identity.email identity.team im:history im:read im:write incoming-webhook mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/A8DPZTBLY-kulfy-app,Kulfy App & Slack Integration | Slack Marketplace,,commands,,
https://slack.com/marketplace/A8DRTNEQM-effinbot,EffinBot & Slack Integration | Slack Marketplace,,commands,,
https://slack.com/marketplace/A8E620ZK7-apify,Apify & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.public commands im:history,,
https://slack.com/marketplace/A8EBU012M-daily-chess-puzzle,Daily Chess Puzzle & Slack Integration | Slack Marketplace,,commands incoming-webhook,,
https://slack.com/marketplace/A8EJUSLSK-cision-app,Cision App & Slack Integration | Slack Marketplace,Paid,incoming-webhook,,
https://slack.com/marketplace/A8F565ECE-knowi,Knowi & Slack Integration | Slack Marketplace,Free and paid plans available,channels:join channels:read chat:write chat:write.public commands files:read files:write groups:read im:history im:read,,
https://slack.com/marketplace/A8H1FEU8Z-onna-discovery,Onna Discovery & Slack Integration | Slack Marketplace,Paid with free trial,admin.legal_holds:read admin.legal_holds:write admin.teams:read auditlogs:read discovery:read emoji:read,,
https://slack.com/marketplace/A8JA33WRZ-gogo,Gogo & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot dnd:read emoji:read files:read files:write:user groups:history groups:read im:history im:read im:write mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/A8KHN4EDV-translator-translate-languages,Translator - Translate Languages & Slack Integration | Slack Marketplace,Free and paid plans available,channels:history channels:read channels:write.invites chat:write commands files:read groups:history groups:read groups:write.invites im:history im:read im:write mpim:history mpim:read users:read,,
https://slack.com/marketplace/A8KKGBABX-holistics,Holistics & Slack Integration | Slack Marketplace,Paid with free trial,channels:read channels:write chat:write chat:write.customize chat:write.public files:write groups:read groups:write links:read links:write team:read,,
https://slack.com/marketplace/A8L79KM5W-float-activity-feed,Float Activity Feed & Slack Integration | Slack Marketplace,Paid with free trial,incoming-webhook,,
https://slack.com/marketplace/A8LBFQ0QH-kippy,kippy & Slack Integration | Slack Marketplace,,channels:read channels:write chat:write:bot chat:write:user identity.basic identity.email identity.team im:write team:read users:read users:read.email,,
https://slack.com/marketplace/A8LSJN934-postmark-bot,Postmark Bot & Slack Integration | Slack Marketplace,Free,channels:join chat:write commands incoming-webhook,,
https://slack.com/marketplace/A8MAPLX53-fortunes,Fortunes & Slack Integration | Slack Marketplace,Free,commands,,
